text,lemmas,ngrams,named_ents,sentiment
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,"['pretax', 'loss', 'total', '117mn', 'compare', 'loss', 'corresponding', 'period']","['pretax_loss', 'corresponding_period']",[],negative
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,"['loss', 'period', 'total', 'compare', 'profit']",[],['loss/PERSON'],negative
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","['fair', 'value', 'property', 'portfolio', 'double', 'result', 'acquisition', 'total']",['fair_value'],[],positive
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .","['strike', 'estimate', 'incur', 'net', 'loss', 'm', 'm', 'day']",['net_loss'],[],negative
"Additionally , the company will terminate a maximum nine salaried and senior salaried employees ' employment contracts .","['additionally', 'company', 'terminate', 'maximum', 'salaried', 'senior', 'salaried', 'employee', 'employment', 'contract']",['salaried_employee'],[],negative
"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .","['launch', 'new', 'g', 'handset', 'aim', 'winner', 'g', 'market', 'g', 'market']",[],['China/GPE'],positive
"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .","['turnover', 'surge', 'm', 'm', 'increase', 'service', 'demand', 'especially', 'quarter', 'overall', 'growth', 'business']","['increase_service', 'increase_service_demand', 'third_quarter', 'overall_growth']",[],positive
"Selects Third Party Logistics Leader Transplace for Best-in-Class Technology , Procurement Capabilities ; Leading Specialty Packaging Manufacturer Employs Complete 3PL Solution for Supply Chain Visibility and Transportation Efficiency to Increase Service Levels and On-Time Deliveries","['select', 'class', 'lead', 'employ', 'increase', 'time']",[],[],positive
Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .,"['work', 'bring', 'superior', 'mobile', 'gaming', 'experience', 'customer']","['mobile_gaming', 'mobile_gaming_experience']","['Elisa/PERSON', 'Elisa/PERSON']",positive
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,"['company', 'say', 'profitability', 'program', 'launch', 'steel', 'frame', 'sandwich', 'panel', 'plant']",[],['Poland/GPE'],positive
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,"['price', 'log', 'clearly', 'improve', 'price', 'pulpwood', 'go']",[],[],positive
"UPM said the move will lower net profit by x20ac 385 million US$ 520 million in the second quarter , mainly due to impairment charges .","['say', 'lower', 'net', 'profit', 'second', 'quarter', 'mainly', 'impairment', 'charge']","['net_profit', 'second_quarter']",[],negative
"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .","['finnish', 'shipping', 'company', 'report', 'net', 'sale', 'decrease', 'corresponding', 'period']","['finnish_shipping', 'finnish_shipping_company', 'net_sale', 'corresponding_period']",[],negative
"'' The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .","['processor', 'tremendous', 'success', 'marketplace', 'launch', 'year', 'ago', 'say', 'director', 'global', 'ecosystem', 'program']","['tremendous_success', 'global_ecosystem', 'global_ecosystem_program']",['Pankaj_Kedia/PERSON'],positive
Sales by Seppala diminished by 6 per cent .,"['sale', 'diminish', 'cent']",[],['Seppala/GPE'],negative
"In the Homeware area , Fiskars provides leading branded products for home , kitchen , and interior design .","['area', 'provide', 'leading', 'brand', 'product', 'home', 'kitchen', 'interior', 'design']","['brand_product', 'interior_design']",[],positive
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .","['portion', 'record', 'winning', 'prior', 'patent', 'dispute', 'finnish', 'phone', 'maker']","['prior_patent', 'prior_patent_dispute', 'finnish_phone', 'finnish_phone_maker']",[],positive
It is a solid credit that has been compared to a DZ Bank or a Rabobank .,"['solid', 'credit', 'compare']",['solid_credit'],[],positive
"'' Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .","['installation', 'automatic', 'varnishing', 'line', 'important', 'company', 'strategy', 'region', 'central', 'eastern', 'say', 'director']","['automatic_varnishing', 'automatic_varnishing_line', 'important_part']",['Jozef_Misurec/PERSON'],positive
Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .,"['finnish', 'messaging', 'solution', 'developer', 'say', 'receive', 'expansion', 'order', 'solution']","['finnish_messaging', 'finnish_messaging_solution', 'finnish_messaging_solution_developer']",[],positive
The Commission is to be applauded for applying a fact-based and data-driven approach and for providing clarity for future petitions .,"['applaud', 'apply', 'fact', 'base', 'data', 'drive', 'approach', 'provide', 'clarity', 'future', 'petition']","['drive_approach', 'provide_clarity', 'future_petition']",[],positive
The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .,"['diluted', 'loss', 'share', 'narrow']",['diluted_loss'],[],positive
"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .","['transaction', 'real', 'sign', 'long', 'term', 'agreement', 'supply', 'pulp', 'small', 'service', 'supply']",['small_service'],[],positive
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,"['net', 'profit', 'quarter', 'drop', 'mln', 'euro', 'mln', 'mln', 'euro', 'mln', 'period']","['net_profit', 'third_quarter', 'same_period']",['Vaisala/PERSON'],negative
Atria Group is a leading Scandinavian meat products group .,"['lead', 'scandinavian', 'meat', 'product', 'group']","['scandinavian_meat', 'scandinavian_meat_product', 'scandinavian_meat_product_group']",[],positive
"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference .","['sign', 'agreement', 'build', 'plant', 'produce', 'car', 'tire', 'chairman', 'say', 'press', 'conference']","['produce_car', 'produce_car_tire']","['Finland/GPE', 'Kazakhstan/GPE', 'Astana/GPE', 'Ordabasy/GPE', 'Dinmukhamet_Idrisov/PERSON']",positive
"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .","['increase', 'signal', 'traffic', 'waste', 'network', 'resource', 'allow', 'few', 'smartphone', 'connect']","['signal_traffic', 'waste_network', 'waste_network_resource', 'few_smartphone']",[],negative
"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .","['sale', 'decrease', 'international', 'sale', 'decrease', 'term', 'euro', 'term', 'local', 'currency']","['international_sale', 'local_currency']",['Finland/GPE'],negative
"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .","['accord', 'ceo', 'post', 'good', 'result']",['good_result'],['Matti_Karppinen/PERSON'],positive
"Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .","['finnish', 'retailer', 'win', 'approval', 'board', 'swedish', 'rival', 'public', 'tender', 'offer', 'aim', 'expand', 'company', 'presence', 'country', 'say']","['finnish_retailer', 'win_approval', 'swedish_rival', 'public_tender', 'public_tender_offer']","['Lindex/PERSON', 'Russia/GPE']",positive
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .","['cash', 'flow', 'operating', 'activity', 'amount', 'eur121', 'm', 'previous', 'year']",['previous_year'],[],positive
The expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .,"['expansion', 'include', 'doubling', 'floor', 'space', 'addition', 'lifting', 'capacity', 'production', 'equipment']","['more_lifting', 'more_lifting_capacity']",[],positive
The Group aims to increase its net sales and comparable operating profit in 2006 .,"['aim', 'increase', 'net', 'sale', 'comparable', 'operating', 'profit']","['net_sale', 'comparable_operating', 'comparable_operating_profit']",[],positive
Scanfil issued a profit warning on 10 April 2006 .,"['issue', 'profit', 'warning']",[],[],negative
"In 2007 , Marimekko has also opened concept stores in Yokohama and Nagoya , central Japan , in Silver Spring in metropolitan Washington DC , USA , in Graz , central Austria , and in Aalborg , northern Denmark .","['open', 'concept', 'store', 'central', 'metropolitan', 'central', 'northern']","['open_concept', 'open_concept_store']","['Marimekko/PERSON', 'Yokohama/GPE', 'Nagoya/GPE', 'Japan/GPE', 'Silver_Spring/GPE', 'Washington_DC/GPE', 'USA/GPE', 'Graz/GPE', 'Austria/GPE', 'Aalborg/GPE', 'Denmark/GPE']",positive
"Sales are expected to increase in the end of the year 2006 , however .","['sale', 'expect', 'increase', 'end', 'year']",[],[],positive
This is the second successful effort for the financial investor this year .,"['second', 'successful', 'effort', 'financial', 'investor', 'year']","['successful_effort', 'financial_investor']",[],positive
"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .","['operate', 'profit', 'non', 'recurring', 'item', 'month', 'compare', 'corresponding', 'period']","['operate_profit', 'recurring_item', 'corresponding_period']",[],negative
"Continuing operations turned an operating loss of EUR 0.1 mn , a slight improvement from a loss of EUR 0.2 mn a year earlier .","['continue', 'operation', 'turn', 'operating', 'loss', 'slight', 'improvement', 'loss', 'year', 'early']","['continue_operation', 'slight_improvement']",[],positive
"Jobs will not be transferred from Finland , however .","['job', 'transfer']",[],['Finland/GPE'],positive
The optimization of the steel components heating process will reduce the energy consumption .,"['optimization', 'steel', 'component', 'heating', 'process', 'reduce', 'energy', 'consumption']",[],[],positive
Strand Associates is expanding its Madison corporate headquarters with space to add about 100 employees to the engineering firm .,"['expand', 'corporate', 'headquarters', 'space', 'add', 'employee', 'engineering', 'firm']",['corporate_headquarters'],['Madison/GPE'],positive
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,"['sign', 'agreement', 'strategic', 'cooperation', 'marketing', 'providing', 'mineral', 'processing', 'metallurgical', 'plant', 'related', 'service', 'surround', 'country']","['strategic_cooperation', 'metallurgical_plant', 'related_service', 'surround_country']","['Kazgiprotsvetmet/PERSON', 'Kazakhstan/GPE']",positive
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,"['diluted', 'earning', 'share', 'stand']",['diluted_earning'],[],negative
"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .","['lose', 'come', 'lead', 'blue', 'chip', 'faller']",[],[],negative
"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .","['disposal', 'strengthen', 'capital', 'structure', 'comment', 'ceo']",[],['Gustav_Nyberg/PERSON'],positive
The company moved to an operating profit of EUR10 .9 m versus an operating loss of EUR15 .3 m. It also turned to EPS of EUR0 .08 versus loss per share of EUR0 .04 .,"['company', 'move', 'operating', 'profit', 'm', 'operating', 'loss', 'm.', 'turn', 'loss', 'share']",[],[],positive
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,"['ponsse', 'project', 'forest', 'machine', 'market', 'improve', 'expect', 'previous', 'year']",['previous_year'],[],positive
Both the net sales and operating profit were record high in the company 's history .,"['net', 'sale', 'operating', 'profit', 'record', 'high', 'company', 'history']",['net_sale'],[],positive
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .","['net', 'sale', 'decrease']",['net_sale'],[],negative
Incap Furniture is presently negotiating staff cuts .,"['presently', 'negotiate', 'staff', 'cut']","['negotiate_staff', 'negotiate_staff_cut']",[],negative
"Cargotec Corporation , Press Release , April 28 , 2008 at 2.00 p.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant hatch cover orders for bulk carriers .","['p.m.', 'finnish', 'time', 'business', 'area', 'provide', 'marine', 'cargo', 'handling', 'offshore', 'load', 'handle', 'solution', 'receive', 'significant', 'hatch', 'cover', 'order', 'bulk', 'carrier']","['finnish_time', 'marine_cargo', 'marine_cargo_handling', 'offshore_load', 'handle_solution', 'significant_hatch', 'significant_hatch_cover', 'significant_hatch_cover_order', 'bulk_carrier']",['MacGREGOR/GPE'],positive
"( ADPnews ) Feb 3 , 2010 Finland-based steel maker Rautaruukki Oyj ( HEL RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a","['base', 'steel', 'maker', 'say', 'today', 'slip', 'large', 'expect', 'pretax', 'loss', 'usd', 'm', 'fourth', 'quarter']","['base_steel', 'base_steel_maker', 'say_today', 'pretax_loss', 'fourth_quarter']",['Finland/GPE'],negative
The annual Thesis contest is aimed to enhance the thesis quality and to strengthen the thesis culture in polytechnics .,"['annual', 'thesis', 'contest', 'aim', 'enhance', 'thesis', 'quality', 'strengthen', 'thesis', 'culture', 'polytechnic']","['annual_thesis', 'annual_thesis_contest']",[],positive
55 workers in +_m+_l will be affected by the close-down .,"['worker', '+', 'm+_l', 'affect', 'close']",[],[],negative
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .","['total', 'mn', 'passenger', 'ship', 'journey', 'take', 'place', 'northern', 'slightly', 'mn']",['take_place'],[],negative
Our standardised services have met with a positive reception among our customers as well as at Itella .,"['standardised', 'service', 'meet', 'positive', 'reception', 'customer']","['standardised_service', 'positive_reception']",[],positive
"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .","['koulutuskuntayhtyma', 'base', 'company', 'award', 'contract', 'specialist', 'agricultural', 'forestry', 'machinery']","['base_company', 'award_contract']",['Finland/GPE'],positive
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .","['fourth', 'quarter', 'net', 'sale', 'increase', 'fourth', 'quarter']","['fourth_quarter', 'net_sale', 'fourth_quarter']",[],positive
"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .","['index', 'pct', 'low', 'portfolio', 'index', 'pct']",[],[],negative
This will bring cost savings of about EUR 3mn a year .,"['bring', 'cost', 'saving', '3mn', 'year']","['bring_cost', 'bring_cost_saving']",[],positive
"Citigroup , Inc ( NYSE C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .","['announce', 'business', 'award', 'new', 'mandate', 'base']",['new_mandate'],['Finland/GPE'],positive
"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .","['share', 'bavarian', 'climb', 'stock', 'exchange', 'lose', 'past', 'month']",['past_month'],['Copenhagen/GPE'],positive
GSK announced in November 2008 that it would close its operations in Dartford .,"['announce', 'close', 'operation']",[],['Dartford/GPE'],negative
"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur .","['employ', 'abroad', 'unit', 'record', 'quarter', 'sale', 'mln', 'eur', 'operating', 'loss', 'mln', 'eur']",[],['Finland/GPE'],negative
"Kemira Coatings is the leading supplier of paints in Northern and Eastern Europe , providing consumers and professionals with branded products in approx .","['lead', 'supplier', 'paint', 'provide', 'consumer', 'professional', 'brand', 'product']","['lead_supplier', 'provide_consumer', 'brand_product']",[],positive
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .","['company', 'operating', 'loss', 'total', 'compare', 'profit']",[],[],negative
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .,"['group', 'recently', 'announce', 'month', 'previous', 'year', 'bring', 'major', 'loss', 'kroon', 'mln', 'fifth', 'quarter', 'run']","['previous_year', 'major_loss', 'fifth_quarter']",[],negative
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .","['quarter', 'net', 'sale', 'increase', 'year', 'year', 'comparable', 'currency', 'rate', 'growth']","['third_quarter', 'net_sale', 'comparable_currency', 'comparable_currency_rate', 'comparable_currency_rate_growth']",[],positive
Global Banking News 28 September 2010 Tieto Corporation and Pohjola Bank ( PINK POJLF ) are to cooperate on SWIFT services .,"['cooperate', 'swift', 'service']",['swift_service'],[],positive
"HK Ruokatalo now accounts for about 50 % of poultry sales in Finland , and profitability is at a good level .","['account', 'poultry', 'sale', 'profitability', 'good', 'level']",['good_level'],"['HK_Ruokatalo/PERSON', 'Finland/GPE']",positive
It will combine and renew the contents and functionality of the current systems for funding and online service as well as their maintenance .,"['combine', 'renew', 'content', 'functionality', 'current', 'system', 'funding', 'online', 'service', 'maintenance']","['current_system', 'online_service']",[],positive
Ramirent is a leading company in machinery and equipment rentals for construction and industry .,"['lead', 'company', 'machinery', 'equipment', 'rental', 'construction', 'industry']",['lead_company'],[],positive
"'' We are delighted to welcome Elisa to our Board of Directors , '' said Garry McGuire , CEO of RMG Networks .","['delighted', 'welcome', 'say', 'ceo']",[],"['Elisa/PERSON', 'Garry_McGuire/PERSON']",positive
"18 May 2010 Finnish electronics producer Elcoteq SE HEL ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO 6753 .","['finnish', 'electronics', 'producer', 'say', 'today', 'sign', 'extensive', 'cooperation', 'agreement', 'industrialisation', 'manufacturing', 'distribution', 'market', 'service', 'mobile', 'phone']","['finnish_electronics', 'finnish_electronics_producer', 'say_today', 'extensive_cooperation', 'extensive_cooperation_agreement', 'mobile_phone']",['Japan/GPE'],positive
"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .","['company', 'say', 'sign', 'agreement', 'finnish', 'window', 'maker', 'build', 'window', 'plant', 'southern']","['finnish_window', 'finnish_window_maker']","['Ky/GPE', 'Forssa/GPE', 'Finland/GPE']",positive
Cramo Group 's financial targets for 2010-2013 are sales growth higher than 10 percent per year ; return on equity above 15 percent .,"['financial', 'target', 'sale', 'growth', 'high', 'percent', 'year', 'return', 'equity', 'percent']",['financial_target'],[],positive
About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .,"['lead', 'electronic', 'manufacturing', 'service', 'company', 'communication', 'technology', 'field']","['lead_electronic', 'lead_electronic_manufacturing', 'lead_electronic_manufacturing_service']",[],positive
Orion Pharma 's operating profit increased by 42.5 % from 2004 .,"['operating', 'profit', 'increase']",[],[],positive
"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .","['reporting', 'period', 'american', 'licensing', 'partner', 'announce', 'positive', 'result', 'nalmefene', 'pilot', 'phase', 'clinical', 'trial', 'smoking', 'cessation']","['american_licensing', 'american_licensing_partner', 'positive_result', 'clinical_trial']",[],positive
Cash Flow from Operations for the most recent quarter also reached a eight year low .,"['cash', 'flow', 'recent', 'quarter', 'reach', 'year', 'low']",['recent_quarter'],[],negative
"'' We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks .","['pleased', 'work', 'advance', 'progress', 'say']",[],['Juergen_Walter/PERSON'],positive
The company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive .,"['company', 'estimate', 'net', 'sale', 'increase', 'considerably', 'operating', 'result', 'clearly', 'positive']",['net_sale'],[],positive
Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,"['earning', 'share', 'drop']",[],[],negative
"The brokerage said 2006 has seen a ' true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .","['brokerage', 'say', 'see', 'true', 'turning', 'point', 'european', 'steel', 'base', 'price', 'well', 'pricing', 'see', 'carry', 'second', 'quarter']","['true_turning', 'true_turning_point', 'european_steel', 'european_steel_base', 'european_steel_base_price', 'well_pricing', 'second_quarter']",[],positive
"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .","['net', 'interest', 'income', 'increase']","['net_interest', 'net_interest_income']",[],positive
"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for ( x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .","['finnish', 'government', 'announce', 'sell', 'percent', 'stake', 'chemical', 'fertilizer', 'group', 'send', 'company', 'share', 'price', 'percent']",['finnish_government'],[],positive
Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,"['operate', 'profit', 'exclude', 'restructure', 'cost', 'grow', 'operate', 'profit', 'include', 'restructure', 'cost', 'show', 'large', 'growth']","['operate_profit', 'restructure_cost', 'operate_profit', 'restructure_cost', 'large_growth']",[],positive
Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,"['increase', 'net', 'sale', 'acquisition', 'produce', 'garden', 'tool', 'boat']","['net_sale', 'produce_garden', 'produce_garden_tool']",['Silva/PERSON'],positive
Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,"['finnish', 'pharmaceutical', 'company', 'net', 'sale', 'rise', '190mn', 'quarter', '180mn', 'quarter']","['finnish_pharmaceutical', 'finnish_pharmaceutical_company', 'net_sale', 'first_quarter', 'first_quarter']",[],positive
"( ADPnews ) May 4 , 2010 Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond","['finnish', 'cutlery', 'hand', 'tool', 'maker', 'say', 'today', 'net', 'profit', 'decline', 'quarter', 'correspond']","['finnish_cutlery', 'say_today', 'net_profit', 'first_quarter']",[],negative
And U.S. energy executives say high steel prices are threatening energy exploration .,"['energy', 'executive', 'high', 'steel', 'price', 'threaten', 'energy', 'exploration']","['high_steel', 'high_steel_price', 'threaten_energy', 'threaten_energy_exploration']",['U.S./GPE'],negative
( I&H ) in a move to enhance growth .,"['enhance', 'growth']",['enhance_growth'],[],positive
Rautaruukki said construction group YIT has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the Kemijoki river in Northern Finland .,"['say', 'construction', 'group', 'award', 'mln', 'eur', 'contract', 'supply', 'steel', 'structure', 'new', 'bridge', 'span', 'river']","['say_construction', 'say_construction_group', 'new_bridge']",['Kemijoki/GPE'],positive
"'' In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .","['term', 'profitability', 'earning', 'good', 'year', 'history', 'say']",['good_year'],['Veli_-_Matti_Mattila/PERSON'],positive
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .","['brewery', 'base', 'report', 'decrease', 'output', 'decaliter', 'representative', 'administration', 'company', 'tell']",[],"['Belarus/GPE', 'Lidskoe_Pivo/PERSON']",negative
F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .,"['point', 'logical', 'weakness', 'sequence', 'number', 'card', 'approach', 'apparently', 'utilise']","['logical_weakness', 'sequence_number']",[],negative
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .","['operate', 'profit', 'net', 'sale', 'month', 'period', 'increase', 'respectively', 'm', 'm', 'compare', 'financial', 'year']","['operate_profit', 'net_sale', 'financial_year']",[],positive
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .","['month', 'sale', 'control', 'finnish', 'brewery', 'decline', 'percent', 'liter', 'company', 'hold', 'percent', 'market']",['finnish_brewery'],[],negative
Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,"['net', 'profit', 'quarter', 'drop', 'mln', 'euro', 'mln', 'mln', 'euro', 'mln', 'corresponding', 'period']","['net_profit', 'third_quarter', 'corresponding_period']",['Glaston/PERSON'],negative
"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .","['finnish', 'energy', 'company', 'say', 'grant', 'environmental', 'permit', 'build', 'biofuel', 'fire', 'combined', 'heat', 'power', 'plant', 'harbor', 'eastern']","['finnish_energy', 'finnish_energy_company', 'environmental_permit', 'combined_heat']","['Vartan_harbor/GPE', 'Stockholm/GPE']",positive
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .","['subdivision', 'sale', 'revenue', 'year', 'operating', 'profit']","['make_sale', 'make_sale_revenue', 'last_year']",[],positive
"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .","['building', 'home', 'improvement', 'trade', 'net', 'sale', 'total', 'year', 'early']",['net_sale'],[],negative
"( ADPnews ) Dec 1 , 2009 Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .","['dec', 'finnish', 'cutlery', 'hand', 'tool', 'maker', 'say', 'today', 'redundant', 'total', 'office', 'management', 'staff', 'member', 'subsidiary']","['finnish_cutlery', 'say_today']",[],negative
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .","['profit', 'taxis']",[],[],negative
4G allows customers to use mobile broadband services with speeds up to ten times higher than with today 's 3G .,"['g', 'allow', 'customer', 'use', 'mobile', 'broadband', 'service', 'speed', 'time', 'high', 'today', 'g']","['allow_customer', 'mobile_broadband', 'mobile_broadband_service']",[],positive
"By cutting the number of plants , the group will trim fixed costs .","['cut', 'number', 'plant', 'group', 'trim', 'fixed', 'cost']",['fixed_cost'],[],positive
We hope to increase traffic volumes with the opening of Freight One Scandinavia . '',"['hope', 'increase', 'traffic', 'volume', 'opening']","['increase_traffic', 'increase_traffic_volume']",[],positive
"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November .","['publish', 'bad', 'expect', 'construction', 'spending', 'figure']","['expect_construction', 'expect_construction_spending', 'expect_construction_spending_figure']",[],negative
services supplier Efore Plc to streamline operations in Finland and the US Finnish electronic systems and services supplier Efore Plc ( OMX Helsinki EFO1V ) said on Tuesday ( 3 February ) that it has initiated statutory negotiations regarding a streamlining of its operations in Finland .,"['service', 'supplier', 'streamline', 'operation', 'finnish', 'electronic', 'system', 'service', 'supplier', 'say', 'initiate', 'statutory', 'negotiation', 'streamlining', 'operation']","['streamline_operation', 'electronic_system', 'statutory_negotiation']","['Finland/GPE', 'US/GPE', 'Finland/GPE']",positive
"'' After this purchase , Cramo will become the second largest rental services provider in the Latvian market .","['purchase', 'second', 'large', 'rental', 'service', 'provider', 'latvian', 'market']","['rental_service', 'rental_service_provider', 'latvian_market']",['Cramo/FAC'],positive
